id,c_date,campaign_name,category,campaign_id,impressions,mark_spent,clicks,leads,orders,revenue,ctr,cpc,cpa,roas
1,2021-02-01,facebook_tier1,social,349043,148263,7307.37,1210,13,1,4981.0,0.008161173050592527,6.039148760330578,7307.37,0.6816405902534017
2,2021-02-01,facebOOK_tier2,social,348934,220688,16300.2,1640,48,3,14962.0,0.007431305734793011,9.939146341463415,5433.400000000001,0.9179028478178182
3,2021-02-01,google_hot,search,89459845,22850,5221.6,457,9,1,7981.0,0.02,11.42582056892779,5221.6,1.5284587099739542
4,2021-02-01,google_wide,search,127823,147038,6037.0,1196,24,1,2114.0,0.008133951767570287,5.047658862876254,6037.0,0.35017392744740766
5,2021-02-01,youtube_blogger,influencer,10934,225800,29962.2,2258,49,10,84490.0,0.01,13.269353410097432,2996.2200000000003,2.8198863901849665
6,2021-02-01,instagram_tier1,social,9034945,444857,9540.01,1342,27,3,17943.0,0.0030166997484584934,7.108800298062594,3180.0033333333336,1.8808156385580308
7,2021-02-01,instagram_tier2,social,983498,511200,3648.9,2556,94,1,1981.0,0.005,1.4275821596244131,3648.9,0.5429033407328235
8,2021-02-01,facebook_retargeting,social,4387490,5544,1293.55,148,3,1,4981.0,0.026695526695526696,8.740202702702703,1293.55,3.8506435777511503
9,2021-02-01,facebook_lal,social,544756,56916,16997.8,596,14,2,4162.0,0.010471572141401363,28.51979865771812,8498.9,0.24485521655743686
10,2021-02-01,instagram_blogger,influencer,374754,120436,23604.1,1498,49,7,39081.0,0.012438141419509116,15.757076101468623,3372.0142857142855,1.655686935744214
11,2021-02-01,banner_partner,media,39889,20900000,931.99,2090,3,0,0.0,0.0001,0.4459282296650718,inf,0.0
12,2021-02-02,facebook_tier1,social,349043,478200,18385.3,2391,48,4,17812.0,0.005,7.689376829778335,4596.325,0.9688174791817377
13,2021-02-02,facebOOK_tier2,social,348934,957806,2198.05,3294,10,0,0.0,0.0034391097988527948,0.6672890103217972,inf,0.0
14,2021-02-02,google_hot,search,89459845,43806,11446.7,907,18,3,23943.0,0.020704926265808336,12.62039691289967,3815.566666666667,2.0916945495208226
15,2021-02-02,google_wide,search,127823,314704,15153.6,2395,39,4,12540.0,0.0076103258935380546,6.327181628392484,3788.4,0.8275261324041812
16,2021-02-02,youtube_blogger,influencer,10934,449200,42301.1,4492,85,17,149141.0,0.01,9.416985752448797,2488.2999999999997,3.5257002772977537
17,2021-02-02,instagram_tier1,social,9034945,540200,29081.1,2701,54,9,45585.0,0.005,10.766790077748981,3231.233333333333,1.5675129207629699
18,2021-02-02,instagram_tier2,social,983498,1020800,1421.34,5104,14,0,0.0,0.005,0.2784757053291536,inf,0.0
19,2021-02-02,facebook_retargeting,social,4387490,10033,169.75,301,0,0,0.0,0.03000099671085418,0.563953488372093,inf,0.0
20,2021-02-02,facebook_lal,social,544756,107553,8829.07,1196,7,1,1129.0,0.011120098927970397,7.382165551839464,8829.07,0.12787303759059562
21,2021-02-02,instagram_blogger,influencer,374754,299600,13919.1,2996,19,3,14466.0,0.01,4.645894526034713,4639.7,1.0392913334913896
22,2021-02-02,banner_partner,media,39889,42000000,46159.8,4200,92,13,51753.0,0.0001,10.990428571428572,3550.7538461538466,1.121170369022396
23,2021-02-03,facebook_tier1,social,349043,2313889,65284.4,7197,115,13,72527.0,0.003110347989899256,9.071057385021536,5021.876923076923,1.1109392136559424
24,2021-02-03,facebOOK_tier2,social,348934,1105666,78958.3,9898,226,12,59772.0,0.008952070516774505,7.977197413618913,6579.858333333334,0.7570071797391787
25,2021-02-03,google_hot,search,89459845,134900,77345.5,2698,84,16,115856.0,0.02,28.667716827279467,4834.09375,1.4979022696860191
26,2021-02-03,google_wide,search,127823,4371854,49498.9,7207,144,13,38753.0,0.0016484996982973356,6.868169834882753,3807.6076923076926,0.7829062868063734
27,2021-02-03,youtube_blogger,influencer,10934,1035261,189341.0,13503,455,91,772499.0,0.013043087685134474,14.022143227430941,2080.6703296703295,4.079935143471303
28,2021-02-03,instagram_tier1,social,9034945,1618600,62509.8,8093,166,15,84600.0,0.005,7.72393426417892,4167.320000000001,1.353387788794717
29,2021-02-03,instagram_tier2,social,983498,3059600,94399.9,15298,592,36,104184.0,0.005,6.170734736566871,2622.2194444444444,1.1036452369123273
30,2021-02-03,facebook_retargeting,social,4387490,29867,5039.51,896,18,4,23560.0,0.029999665182308233,5.6244531250000005,1259.8775,4.675057694101212
31,2021-02-03,facebook_lal,social,544756,295009,76716.4,3595,72,9,5607.0,0.012186068899592895,21.339749652294852,8524.044444444444,0.07308737114880261
32,2021-02-03,instagram_blogger,influencer,374754,667352,194336.0,8996,342,51,254031.0,0.01348014241359882,21.60248999555358,3810.5098039215686,1.3071741725671002
33,2021-02-03,banner_partner,media,39889,125910000,29378.3,12591,68,13,51753.0,0.0001,2.333277738066873,2259.869230769231,1.7616063557115287
34,2021-02-04,facebook_tier1,social,349043,2475754,173914.0,9601,192,31,154411.0,0.003878010497004145,18.114154775544215,5610.129032258064,0.8878583667789827
